Id,Comentario,Carga
1,QUIERO HACER UN LLAMADO A TODOS LOS PAISANOS QUE ESTAMOS EN LOS E.U. VAMOS HACER UN EXTRA ESFUERZO ESTE AÑO!!!Y DOBLETIAR LAS REMESAS!!! PARA AYUDAR AHUN MÁS ASÍ LA #4T,Positivo
2,"tenemos por primera ves no un buen Presidente, si no un excelente Presidente de nuestra República Mexicana.",Positivo
3,Así será sr. Presidente y gracias por darle un nuevo rumbo a la transformación de salina Cruz un puerto que ya a sido saqueado por todos los presidentes anteriores y aún más por el actual no deje en el olvido a nosotros los jovenes que somos el futuro de un México mejor esperamos pronta respuestas Dios lo bendiga a usted y su apreciable famila. ,Positivo
4,En la historia moderna de nuestro México no habíamos tenido un presidente tan valioso como usted.,Positivo
5,Bravoooo Señor Presidente!!!!!!!!!!!!! Gracias por voltear a ver a nuestro hermoso Estado de Oaxaca !!!!!! Viva El Istmo de Tehuantepec !!!!!!! Rico en Tradiciones y Tierra Fértil. !!!!!!! Viva El Mejor Presidenteee!!!!!!!!!!,Positivo
6,"Muy bien Sr.Presidente de México, siempre presente en mis diarias oraciones, Ud, su familia, equipo de trabajo y los mexicanos de este país. DNB a todos este día del Señor de la Misericordia!",Positivo
7,"Cada dia son mas los arrepentidos, cada dia se manifiesta más el descontento social. Un gobernante carente de tacto, carente de sentido común, carente de racionalidad, ideas de antaño que interfieren en el progreso del país. Un personaje que cree que solo gobierna para un solo sector de la población, alguien que considera a todo México como ignorante. Te quedó grande la silla presidencial, tu deber es renunciar y pedir perdón por el desastre que estás haciendo. #RENUNCIA Pasaras a la historia como aquél presidente que llevó a la ruina al país, rodeado de personas que se resisten al cambio, que en su andar solo buscan el beneficio propio.",Negativo
8,"AMLO como tú no te rendiste, nosotros tampoco te vamos a fallar",Positivo
9,"   Pasaron 80 años de Gobiernos del PRI y 12 años de Gobiernos del PAN y los Chayoteros Fifis y Chairos nunca dijeron nada, Ahhhh pero llega AMLO a la Presidencia y Ladran como Lloronas sin Mamila......",Positivo
10,"A mí no me pagan por apoyar a AMLO y tampoco lo aceptaría. Tengo postgrado, trabajo independiente y afortunadamente no necesito $, voté para q ese $ se lo den a quienes son menos afortunados y lograr emparejar el suelo para todos",Positivo
