id,log,created_at,time,from_user_id_str,user_followers_count,user_location,status_url,positivo_negativo
0,Cae AMLO 10 puntos porcentuales en aprobación de su gestión https://t.co/GxmOkAigI3,Mon May 27 23:59:59 +0000 2019,28/05/2019 00:59:59,1350154904,574,"Puebla, México",http://twitter.com/Semanario7DiasP/statuses/1133160956597551109,1
1,RT @nayemequiere: AMLO con sus #Fuertesdeclaraciones https://t.co/z8hWLO9Nxh,Mon May 27 23:59:59 +0000 2019,28/05/2019 00:59:59,1019798371601707008,65,,http://twitter.com/MaraHdz13/statuses/1133160954454265862,0
2,"RT @tumbaburross: Cuando EPN decía burradas, los PRIISTAS se quedaban callados y algunos hasta se reían.

Cuando AMLO hace y dice burradas, los chairos defienden esas burradas y hasta se enojan porque se ríen de su Mesías.

Este nivel de fanatismo es peligroso, muchísimo.",Mon May 27 23:59:59 +0000 2019,28/05/2019 00:59:59,912113304281198592,10,,http://twitter.com/josefina_simer/statuses/1133160953632239616,0
3,RT @guadalupemart75: @jorgeberry Fíjate chayotero ni tu mamá sabe q tienes Internet ratas asquerosa miles murieron x falta de atención en el imss x falta de atención y medicamentos mientras tu y los hampones se llevaban el dinero de los mexicanos nadie les cree viva AMLO,Mon May 27 23:59:54 +0000 2019,28/05/2019 00:59:54,840571794109136896,284,"Toluca, México",http://twitter.com/TalaricoLuz/statuses/1133160935823007745,1
4,"RT @JTejado: El día de hoy con lo sucedido el fin de semana en Zamora y La Huacana (ambos Mich) se juega el gobierno de AMLO toda su capacidad disuasiva frente al Narco y la legitimidad para usar fuerza. Día q no quisieran llegara, pero ya llegó! 🤷🏻‍♂️ https://t.co/CYd74WpPum",Mon May 27 23:59:52 +0000 2019,28/05/2019 00:59:52,4860904400,141,,http://twitter.com/cuau_gonzalez/statuses/1133160926734163968,0
6,"RT @vicentevazquezg: Por instrucción de AMLO están impedidos de usar las armas con delincuentes disfrazados de civil, incluso, ya no hay retenes. Es decir, ya no los dejan ni que metan las manos. En otras partes del mundo esas humillaciones no se ven, pues ahí si aplican la Ley. #FuertesDeclaraciones https://t.co/U1R4S4PrwW",Mon May 27 23:59:49 +0000 2019,28/05/2019 00:59:49,1019798371601707008,65,,http://twitter.com/MaraHdz13/statuses/1133160914679738368,0
7,"@AnaliaCorrea8 Largue el mezcal, AMLO.",Mon May 27 23:59:48 +0000 2019,28/05/2019 00:59:48,3370510756,313,,http://twitter.com/ocatarinetabel2/statuses/1133160910607003649,1
8,"RT @ABarrancoCh: Lanzan una ""volada"" en afan de irritar a los partidarios de AMLO; se autodesminten sin pudor alguno y luego piden el ""mérito"" de haber evitado una decisión equivocada del presidente. Así o más cínicos.",Mon May 27 23:59:47 +0000 2019,28/05/2019 00:59:47,152091210,1028,Mictlán,http://twitter.com/Arioch13/statuses/1133160905229963264,0
9,"RT @forozcolg: La verdad no va hacer sencillo, Pero propongo bloquear definitivamente a este wey.

Es como comenta AMLO, saca la matraca para todo y solo es el perro servil de otros para causar desunion.

Por mi parte desde ahora lo bloqueo, NO VALE NI UN SOLO SEGUNDO DE NUESTRO PRECIADO TIEMPO https://t.co/129BSll8uQ",Mon May 27 23:59:46 +0000 2019,28/05/2019 00:59:46,1065827643025702919,585,Sinaloa,http://twitter.com/Cervand44335336/statuses/1133160900062371840,0
10,"RT @tumbaburross: Cuando EPN decía burradas, los PRIISTAS se quedaban callados y algunos hasta se reían.

Cuando AMLO hace y dice burradas, los chairos defienden esas burradas y hasta se enojan porque se ríen de su Mesías.

Este nivel de fanatismo es peligroso, muchísimo.",Mon May 27 23:59:45 +0000 2019,28/05/2019 00:59:45,408518340,198,mexico,http://twitter.com/Ariascab/statuses/1133160897906659330,0
11,"RT @brozoxmiswebs: LA SECRETARÍA DE COMUNICACIONES Y TRANSPORTES RENTA OFICINAS, PARA CUATRO DE SUS UNIDADES, EN UN COMPLEJO PROPIEDAD DE FIBRA DANHOS, A LOS PROPIETARIOS SE LES VINCULA CON AMLO.
https://t.co/UUelzvYsXj",Mon May 27 23:59:43 +0000 2019,28/05/2019 00:59:43,1849106522,55,,http://twitter.com/theoglezregibus/statuses/1133160889631297536,0
12,"RT @alarcondibujos: Se quejan de AMLO, pero hace 10 mil años no decían nada.",Mon May 27 23:59:40 +0000 2019,28/05/2019 00:59:40,1663695776,118,México,http://twitter.com/TinaTentle/statuses/1133160876591046657,1
14,"RT @memobarba: México se fundó hace 10 mil años. Le faltó agregar que se disputaba en aquel entonces el liderazgo mundial con la Atlántida... 😆

(En el fantástico universo paralelo de AMLO, por supuesto) https://t.co/Ya5zMSGj22",Mon May 27 23:59:38 +0000 2019,28/05/2019 00:59:38,75927038,1648,Colombia,http://twitter.com/Raforismos/statuses/1133160866440974343,0
16,RT @repoenguardia: Reporteras en Guardia pide a AMLO reconocer a periodistas indígenas asesinados https://t.co/IyYNdRlrSr vía @NewsweekEspanol,Mon May 27 23:59:35 +0000 2019,28/05/2019 00:59:35,212699323,1246,,http://twitter.com/paz_eri/statuses/1133160854378074117,1
18,"RT @ABarrancoCh: ?Y cuando los Polivoces paradiaban a Pedro Ferriz y Agustín Barrios Gómez? ? Y cuando la ""imitacion"" más ridícula de AMLO se hacía en ""El privilegio de mandar""?",Mon May 27 23:59:32 +0000 2019,28/05/2019 00:59:32,156675979,81,Coatepec,http://twitter.com/veracruz2003/statuses/1133160842441060353,0
19,"RT @CarlosChaviraTV: RT ¡IMPRESIONANTE!
AMLO nos cuenta sus aventuras desde hace 10,000 años.
#NoticiasParodiar https://t.co/pFA5SELXQB",Mon May 27 23:59:31 +0000 2019,28/05/2019 00:59:31,292125041,50,,http://twitter.com/roger_vega/statuses/1133160837319933955,0
20,"RT @clomnitz: Una buena noticia: AMLO al fin optó por no nombrar a Velasco a la SEMARNAT. El nuevo titular, Victor Manuel Toledo, es un ecólogo. Esperamos de él que movilice los conocimientos de la ciencia ambiental para exigir que el medio ambiente ocupe el centro de la agenda política. Amen.",Mon May 27 23:59:31 +0000 2019,28/05/2019 00:59:31,93321109,429,⛄️ Querétaro & Zihuatanejo ☀,http://twitter.com/SilverioVR/statuses/1133160835772166144,0
21,"RT @ibarrajpl: Mira @DeniseDresserG aquí esta, Ruíz Esparza, Javier Duarte, Y Gabriel Quadri, no le digas a nadie pero el de la máscara es AMLO, estaban arreglando lo de el nuevo puesto de Manuel Velasco.
😂😂😂😂😂 https://t.co/uKFcj9rSX7",Mon May 27 23:59:30 +0000 2019,28/05/2019 00:59:30,2166902593,55,Planeta tierra,http://twitter.com/elideearias/statuses/1133160832882348035,0
22,"RT @abrahamendieta: Ya estoy deseando ver como los traficantes de desidia nos intentan convencer de que gracias a sus cuatro tuits AMLO cambió de idea sobre el secretario de la SEMARNAT.

Seguro no hay ni media disculpa por el Fake News.",Mon May 27 23:59:30 +0000 2019,28/05/2019 00:59:30,187621907,30,,http://twitter.com/rivertris/statuses/1133160832412442624,1
23,@Karous33 Gracias todos juntos por México Unidos hasta la muerte AMLO le está haciendo mucho dañó ha México metiendo migrantes delincuentes y con muchos problemas qué no son de nosotros AMLO #RENUNCIA,Mon May 27 23:59:27 +0000 2019,28/05/2019 00:59:27,1053385377438941184,28,,http://twitter.com/Jose82194348/statuses/1133160821960450048,0
24,"RT @Blasteropod: El crimen organizado percibe el vacío de poder, la inutilidad y la cobardía del gobierno de Andrés Manuel, y ya lanzó su desafío abierto.

Esos que votaron por AMLO:
APLAUSOS 👏🏻👏🏻👏🏻
#AmloElFracasoPresidencial

https://t.co/H2lQMDCsVW",Mon May 27 23:59:27 +0000 2019,28/05/2019 00:59:27,818401589140430848,45,,http://twitter.com/poyotecis/statuses/1133160819636621312,0
25,"Esperen la respuesta de AMLO en 10,000 años https://t.co/l338ojXFb9",Mon May 27 23:59:26 +0000 2019,28/05/2019 00:59:26,121840994,53,"Irapuato, México",http://twitter.com/jralvarezl/statuses/1133160817929572352,1
26,RT @CNNEE: Intensa reacción en redes sociales por declaraciones de AMLO: dijo que México se fundó hace 10.000 años y que ya había imprentas https://t.co/I1Mb4kzBTT,Mon May 27 23:59:25 +0000 2019,28/05/2019 00:59:25,431138748,2113,"South Carolina, USA",http://twitter.com/BricenoArturo/statuses/1133160812644847616,0
27,@shaulin88 @FaustoBarajas @FelipeCalderon @Reforma Creo que ni para ti ni para mi fue correcto lo que hizo AMLO. Tienes razón.,Mon May 27 23:59:25 +0000 2019,28/05/2019 00:59:25,4519670353,48,México,http://twitter.com/NCastro_m/statuses/1133160811281747969,0
28,"@911optics @artaroo2001 Con estas teorías Macuspanas de AMLO, seguramente le van a dar el premio Humboldt por sus aportes a la paleontología.",Mon May 27 23:59:24 +0000 2019,28/05/2019 00:59:24,1321584619,358,"Hannover, Deutschland",http://twitter.com/beutelsp/statuses/1133160807838019584,0
29,@clomnitz ¿AMLO al fin optó ?,Mon May 27 23:59:23 +0000 2019,28/05/2019 00:59:23,2229015127,17,,http://twitter.com/FjValdovinos/statuses/1133160805048967168,0
30,"RT @revistaproceso: Sí a la austeridad, pero de manera racional: Coparmex a AMLO
https://t.co/KenlH9zZxs https://t.co/8kgXjunZWt",Mon May 27 23:59:21 +0000 2019,28/05/2019 00:59:21,1076960508870385665,12,CDMX,http://twitter.com/Pau_d_triana/statuses/1133160796484194304,0
